25
60
0 8
1 10
2 4
3 9
4 1
5 3
6 5
7 9
8 4
9 10
10 1
11 6
12 3
13 3
14 8
15 4
16 8
17 10
18 1
19 3
20 4
21 10
22 10
23 8
24 1
8 24 9
16 10 8
1 12 8
10 8 10
24 4 2
17 22 4
11 10 6
3 16 5
7 1 4
8 19 9
15 24 7
5 3 3
16 24 5
1 3 8
8 3 4
23 6 6
13 15 5
13 11 6
19 15 5
4 1 8
20 5 5
1 23 9
23 5 3
2 16 7
12 13 5
1 22 2
3 12 9
2 22 5
4 9 2
20 0 6
23 17 10
18 12 1
7 19 9
20 18 4
5 6 3
17 15 3
2 17 2
20 12 2
1 15 2
13 7 7
4 10 7
22 23 6
19 4 4
14 10 6
6 13 1
13 19 1
19 16 5
1 19 4
15 0 10
23 22 6
14 22 6
21 10 4
20 19 9
10 15 6
9 17 2
4 2 5
21 17 6
16 8 10
22 3 8
0 10 3
