50
50
0 8
1 4
2 7
3 1
4 6
5 10
6 9
7 2
8 3
9 5
10 12
11 11
12 15
13 17
14 20
15 18
16 14
17 19
18 22
19 23
20 24
21 21
22 27
23 25
24 16
25 26
26 13
27 29
28 28
29 33
30 31
31 30
32 34
33 32
34 36
35 37
36 35
37 39
38 38
39 41
40 44
41 45
42 40
43 42
44 43
45 46
46 48
47 49
48 47
49 50
0 1 6
1 2 3
2 3 5
3 4 2
4 5 4
5 6 5
6 7 3
7 8 2
8 9 6
9 10 4
10 11 3
11 12 5
12 13 2
13 14 4
14 15 3
15 16 1
16 17 4
17 18 3
18 19 5
19 20 2
20 21 3
21 22 4
22 23 6
23 24 3
24 25 1
25 26 4
26 27 2
27 28 3
28 29 5
29 30 6
30 31 4
31 32 2
32 33 3
33 34 4
34 35 1
35 36 3
36 37 4
37 38 2
38 39 5
39 40 4
40 41 3
41 42 1
42 43 3
43 44 2
44 45 4
45 46 3
46 47 5
47 48 6
48 49 4
49 0 2
